"Szamlaazon","Datum","Szamlaszam","Perertek","Datumtol","Datumig","Vevoazon","Nyomtatva","Tipus","Masikszamla","Fizhatido","Teljesitve","Fizetesmod","Szoveg1","Szoveg2","Masikszamlaperertek","SzamlaszamStr","Elotag","Szlahely","Kiegybizsz","S1","S2","N1","N2","NullaErtek","NullaAfa","NullaOsszes","12Ertek","12Afa","12Osszes","25Ertek","25Afa","25Osszes","AMErtek","AMAfa","AMOsszes","MindErtek","MindAfa","MindOsszes","Azon","SzallitoNeve","SzallitVaros","SzallitoUtca","VevoNeve","VevoVaros","VevoUtca","AdoSzam","BankSzamla","PeldanyNev"
"13193","2017-01-09 00:00:00","20","/2017","2017-01-01 00:00:00","2017-01-07 00:00:00","19","2017-01-09 00:00:00","1","0","2017-01-09 00:00:00","","Készpénz","","",""," 20/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13194","2017-01-11 00:00:00","21","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","20","2017-01-11 00:00:00","1","0","2017-01-11 00:00:00","","Készpénz","","",""," 21/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13195","2017-01-16 00:00:00","22","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","16","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 22/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13196","2017-01-16 00:00:00","23","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","274","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 23/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13197","2017-01-16 00:00:00","24","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","53","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 24/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13198","2017-01-16 00:00:00","25","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","303","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 25/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13199","2017-01-16 00:00:00","26","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","304","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 26/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13200","2017-01-16 00:00:00","27","/2017","2017-01-08 00:00:00","2017-01-14 00:00:00","19","2017-01-16 00:00:00","1","0","2017-01-16 00:00:00","","Készpénz","","",""," 27/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13201","2017-01-23 00:00:00","28","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","16","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 28/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13202","2017-01-23 00:00:00","29","/2017","2017-01-18 00:00:00","2017-01-21 00:00:00","8","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 29/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13203","2017-01-23 00:00:00","30","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","274","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 30/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13204","2017-01-23 00:00:00","31","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","53","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 31/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13205","2017-01-23 00:00:00","32","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","303","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 32/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13206","2017-01-23 00:00:00","33","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","304","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 33/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13207","2017-01-23 00:00:00","34","/2017","2017-01-15 00:00:00","2017-01-21 00:00:00","19","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","","",""," 34/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13208","2017-01-23 00:00:00","35","/2017","2017-01-23 00:00:00","2017-01-23 00:00:00","8","2017-01-23 00:00:00","1","0","2017-01-23 00:00:00","","Készpénz","Visszáru számla","",""," 35/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13209","2017-01-30 00:00:00","36","/2017","2017-01-23 00:00:00","2017-01-28 00:00:00","8","2017-01-30 00:00:00","1","0","2017-01-30 00:00:00","","Készpénz","","",""," 36/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
